block_id,cell_line_id,drug1_original,drug1_id,drug1_match_source,drug2_original,drug2_id,drug2_match_source,synergy_loewe,synergy_bliss,synergy_zip,synergy_hsa,source_study,A_d1,A_d2,target_combo_auc
319818,HL-60,Vemurafenib,Vemurafenib (PLX-4032),exact,Crizotinib,Crizotinib (PF-2341066),exact,-32.1709379809898,-14.3663528843773,-2.92890485402699,-26.5508794271481,ALMANAC,215.8443603515625,164.5482635498047,158.0253739696938
319901,HL-60,Vismodegib,Vismodegib (GDC-0449),exact,Crizotinib,Crizotinib (PF-2341066),exact,-22.1241553991936,-5.59737781358179,-4.3126508367538,-11.7730786182632,ALMANAC,249.13739013671875,164.5482635498047,184.71867144406812
319974,HL-60,Axitinib,Axitinib (AG-013736),exact,Crizotinib,Crizotinib (PF-2341066),exact,-1.18442838419133,7.99380788445319,-1.17483331774688,4.22798266105852,ALMANAC,163.8475341796875,164.5482635498047,163.01347048055476
320300,HL-60,Vandetanib,Vandetanib (ZD6474),exact,Crizotinib,Crizotinib (PF-2341066),exact,-14.0627909136353,5.14950575117125,-1.92444229967625,-2.40011719103774,ALMANAC,192.5455780029297,164.5482635498047,164.4841298627319
320678,HL-60,Ruxolitinib,Ruxolitinib (INCB018424),exact,Crizotinib,Crizotinib (PF-2341066),exact,-37.4440387559894,-3.76353276087768,1.06765272944269,-15.4594850019418,ALMANAC,195.9326171875,164.5482635498047,142.79640161266295
321796,HL-60,Gefitinib,Gefitinib,exact,Crizotinib,Crizotinib (PF-2341066),exact,-6.5242417635664,-2.1811544174289,-7.22929102580534,-6.14346048500386,ALMANAC,203.01541137695312,164.5482635498047,177.2575956998125
323877,HL-60,Vandetanib,Vandetanib (ZD6474),exact,Lapatinib,Lapatinib,exact,-7.83605123974848,0.801448655265005,8.70066510157983,-9.27599107838826,ALMANAC,192.5455780029297,192.39686584472656,184.63517068407964
323960,HL-60,Axitinib,Axitinib (AG-013736),exact,Lapatinib,Lapatinib,exact,-18.0867205188514,-6.84260395018837,0.789244131763823,-14.8529958964143,ALMANAC,163.8475341796875,192.39686584472656,160.03547949335564
324020,HL-60,Vismodegib,Vismodegib (GDC-0449),exact,Lapatinib,Lapatinib,exact,-12.5209858646752,-1.94227940553844,4.59379467061045,-11.4152983865028,ALMANAC,249.13739013671875,192.39686584472656,208.24614212604746
324163,HL-60,Crizotinib,Crizotinib (PF-2341066),exact,Lapatinib,Lapatinib,exact,-24.5069890211152,-4.4140731165068,-0.194395434328423,-12.8861127312916,ALMANAC,164.5482635498047,192.39686584472656,153.96557567615042
324333,HL-60,Ruxolitinib,Ruxolitinib (INCB018424),exact,Lapatinib,Lapatinib,exact,-10.7337419308815,-3.83324394127723,10.9070177928748,-18.6160696011389,ALMANAC,195.9326171875,192.39686584472656,183.43099958523177
324696,HL-60,Pazopanib hydrochloride,Pazopanib (GW786034),exact,Lapatinib,Lapatinib,exact,-7.93006284059326,6.43484548477064,17.5629006741899,-18.2521433567467,ALMANAC,186.80133056640625,192.39686584472656,181.66903536497315
