drugcomb_name,beataml_name,match_source
BRD9876:MK-1775 (4:1 mol/mol),,no_match
BX-912,,no_match
Barasertib,,no_match
Bardoxolone methyl,,no_match
Bax Channel Blocker,,no_match
Belinostat,,no_match
Bemcentinib,,no_match
Bendamustine,,no_match
Bendamustine hydrochloride,,no_match
Bexarotene,,no_match
Blebbistatin,,no_match
Bleo,,no_match
Brivanib,,no_match
Bryostatin 1,,no_match
C35H30N4O4,,no_match
C6 ceramide,,no_match
CABAZITAXEL,,no_match
CAY10594,,no_match
CAY10603,,no_match
CBB1007,,no_match
CBKinase1_000452,,no_match
CBKinase1_008869,,no_match
CCT-018159,,no_match
CCT007093,,no_match
CH 55,,no_match
CHEBI:111569,,no_match
CHEBI:111607,,no_match
CHEBI:111640,,no_match
CHEBI:111682,,no_match
CHEBI:111710,,no_match
CHEBI:111732,,no_match
CHEBI:113699,,no_match
CHEBI:113844,,no_match
CHEBI:118719,,no_match
CHEBI:118782,,no_match
CHEBI:119728,,no_match
CHEBI:124186,,no_match
CHEBI:124244,,no_match
CHEBI:124319,,no_match
CHEBI:124400,,no_match
CHEBI:124436,,no_match
CHEBI:124710,,no_match
CHEMBL17639,,no_match
CHEMBL2143553,,no_match
CHEMBL2152368,,no_match
CHEMBL2169939,,no_match
CHEMBL277800,,no_match
CHEMBL3182046,,no_match
CHEMBL3182405,,no_match
CHEMBL585951,,no_match
CHM-1,,no_match
CI 976,,no_match
CICLOPIROX,,no_match
CID-2858522,,no_match
CIL41,,no_match
CIL55,,no_match
CIL55A,,no_match
CIL56,,no_match
CP-724714,,no_match
CUDC-101,,no_match
CX-5461,,no_match
CYCLOPAMINE,,no_match
CYTOCHALASIN B,,no_match
Carboplatinum,,no_match
Cdk4/6 Inhibitor IV,,no_match
Clofarabine,,no_match
Co-V,,no_match
Compound 1541A,,no_match
Compound 23 citrate,,no_match
Compound 7d-cis,,no_match
Cucurbitacin I,,no_match
Cylocide,,no_match
DAMPP,,no_match
DASA-58,,no_match
DBeQ,,no_match
DMOG,,no_match
Dabrafenib,,no_match
Dacinostat,,no_match
Daporinad,,no_match
Darinaparsin,,no_match
Decitabine,,no_match
Deferasirox,,no_match
Dexrazoxane,,no_match
Dihydropiplartine,,no_match
Dinaciclib,,no_match
EHT 1864,,no_match
ELCPK,,no_match
EMBELIN,,no_match
ERASTIN,,no_match
ETP-46464,,no_match
EXEMESTANE,,no_match
Elocalcitol,,no_match
Eloxatin (TN) (Sanofi Synthelab),,no_match
Emcyt (Pharmacia),,no_match
Entinostat,,no_match
Enzastaurin,,no_match
Epothilone B,,no_match
FGIN-1-27,,no_match
FH535,,no_match
FQI-2,,no_match
FSC231,,no_match
FTI-277,,no_match
Fedratinib,,no_match
Fingolimod,,no_match
Fludarabine Base,,no_match
Fulvestrant,,no_match
GMX-1778,,no_match
GNF-2,,no_match
GPP78,,no_match
GSK 650394,,no_match
GSK-J4,,no_match
GSK1059615,,no_match
GSK1070916,,no_match
GSK2636771,,no_match
GSK269962A,,no_match
GSK4112,,no_match
GSK429286A,,no_match
GSK461364,,no_match
GW 441756,,no_match
GW843682X,,no_match
Galunisertib,,no_match
Genentech Cpd 10,,no_match
HC-067047,,no_match
HG-5-113-01,,no_match
HG-5-88-01,,no_match
HG6-64-1,,no_match
HLI373,,no_match
HMN-214,,no_match
IC-87114,,no_match
IKK-3 Inhibitor,,no_match
IMIQUIMOD,,no_match
IOX2,,no_match
IPA-3,,no_match
IPR-456,,no_match
ISOX,,no_match
ISOX:bortezomib (250:1 mol/mol),,no_match
Incyclinide,,no_match
Indium nitride,,no_match
Isoevodiamine,,no_match
Isonicotinohydroxamic acid,,no_match
Ispinesib mesylate,,no_match
Istradefylline,,no_match
Ixabepilone,,no_match
Ixazomib,,no_match
JQ-1:MK-0752 (1:1 mol/mol),,no_match
JQ-1:UNC0638 (2:1 mol/mol),,no_match
JQ-1:carboplatin (1:1 mol/mol),,no_match
JQ-1:navitoclax (2:1 mol/mol),,no_match
JQ-1:vorinostat (2:1 mol/mol),,no_match
JQ12,,no_match
JW 480,,no_match
JW-7-24-1,,no_match
JW74,,no_match
KH-CB19,,no_match
KIN001-055,,no_match
KIN001-102,,no_match
KIN001-236,,no_match
KIN001-244,,no_match
KIN001-260,,no_match
KIN001-266,,no_match
KIN001-270,,no_match
KPT-185,,no_match
KU 0060648,,no_match
KU-60019,,no_match
KX2-391,,no_match
Ki8751,,no_match
Ko 143,,no_match
Ku-0063794,,no_match
LE 135,,no_match
LRRK2-IN-1,,no_match
LY2183240,,no_match
Leptomycin B,,no_match
Linsitinib,,no_match
Lisitinib,,no_match
Lomeguatrib,,no_match
Luminespib,,no_match
MEGESTROL ACETATE,,no_match
METHYLSTAT,,no_match
MG-132,,no_match
MI-1,,no_match
MI-2,,no_match
MIRA-1,,no_match
MITHRAMYCIN,,no_match
MK-0752,,no_match
MK-1775,,no_match
ML-210,,no_match
ML031,,no_match
ML083,,no_match
ML239,,no_match
ML258,,no_match
ML311,,no_match
ML312,,no_match
ML320,,no_match
ML334 diastereomer,,no_match
MLN4924,,no_match
MLS000106215,,no_match
MLS000585313,,no_match
MLS002473913,,no_match
MLS003179190,,no_match
MPS-1-IN-1,,no_match
Manumycin A,,no_match
Marinopyrrole A,,no_match
Mdivi-1,,no_match
Melphalan hydrochloride,,no_match
Merck60,,no_match
N9-ISOPROPYL-OLOMOUCINE,,no_match
NG25,,no_match
NPC-26,,no_match
NPK76-II-72-1,,no_match
NSC 95397,,no_match
NSC-127716,,no_match
NSC256439,,no_match
NSC401077,,no_match
NSC48300,,no_match
NSC609699,,no_match
NSC632839,,no_match
NSC707389,,no_match
NSC733504,,no_match
NSC756645,,no_match
NVP-231,,no_match
NVP-BHG712,,no_match
NVP-BSK805,,no_match
Nakiterpiosin,,no_match
Narciclasine,,no_match
Navelbine ditartrate (TN),,no_match
Navitoclax,,no_match
Necrostatin-1,,no_match
Necrostatin-7,,no_match
Necrosulfonamide,,no_match
Nelarabine,,no_match
Neopeltolide,,no_match
Nintedanib,,no_match
Nsc 23766,,no_match
Nutlin-3,,no_match
OSI-027,,no_match
OSI-930,,no_match
OSU-03012,,no_match
Omipalisib,,no_match
Onalespib,,no_match
PD318088,,no_match
PF 184,,no_match
PF 4800567 Hydrochloride,,no_match
PF 750,,no_match
PF-3758309,,no_match
PF-4708671,,no_match
PF-543,,no_match
PF-562271,,no_match
PFI-1,,no_match
PHA-793887,,no_match
PHENFORMIN,,no_match
PIK-93,,no_match
PRL-3 Inhibitor,,no_match
PX-12,,no_match
PYR-41,,no_match
Palmostatin B,,no_match
Parbendazole,,no_match
Pemetrexed,,no_match
Pifithrin-mu,,no_match
Piperlongumine,,no_match
Pluripotin,,no_match
Pralatrexate,,no_match
Procarbazine hydrochloride,,no_match
Purmorphamine,,no_match
QL-VIII-58,,no_match
QL-X-138,,no_match
QL-XI-92,,no_match
QL-XII-47,,no_match
QL-XII-61,,no_match
QS11,,no_match
QW-BI-011,,no_match
Quinacrine hydrochloride,,no_match
RITA,,no_match
RO4929097,,no_match
Refametinib,,no_match
Repligen 136,,no_match
Retinoic acid,,no_match
Rigosertib,,no_match
Ro-3306,,no_match
Romidepsin,,no_match
Rucaparib phosphate,,no_match
SB-505124,,no_match
SB-743921,,no_match
SB52334,,no_match
SCH 529074,,no_match
SCH 79797 dihydrochloride,,no_match
SCHEMBL16479156,,no_match
SCHEMBL771524,,no_match
SGC0946,,no_match
SID 26681509,,no_match
SJ-172550,,no_match
SKI II,,no_match
SL 0101-1,,no_match
SNX-2112,,no_match
SNX-2112:bortezomib (250:1 mol/mol),,no_match
SR-II-138A,,no_match
SR1001,,no_match
SR8278,,no_match
STF-31,,no_match
STF-62247,,no_match
SZ4TA2,,no_match
Salermide,,no_match
Semagacestat,,no_match
Serdemetan,,no_match
Silmitasertib,,no_match
Sitagliptin,,no_match
Skepinone-L,,no_match
Sonidegib,,no_match
Sotrastaurin,,no_match
Spautin-1,,no_match
StemRegenin 1,,no_match
T0901317,,no_match
TAK-715,,no_match
TGX-221,,no_match
THZ-2-102-1,,no_match
THZ-2-49,,no_match
TL-1-85,,no_match
TL-2-105,,no_match
TOPOTECAN HYDROCHLORIDE,,no_match
TPCA-1,,no_match
TRIAZOLOTHIADIAZINE,,no_match
TW-37,,no_match
Tacedinaline,,no_match
Talazoparib,,no_match
Tamoxan,,no_match
Tamoxifen citrate,,no_match
Telomerase Inhibitor IX,,no_match
Temsirolimus,,no_match
Tigecycline,,no_match
Tipifarnib,,no_match
Tivantinib,,no_match
Tosedostat,,no_match
Triethylenemelamine,,no_match
Trisenox,,no_match
Tubastatin A,,no_match
UNC0321,,no_match
UNC0638,,no_match
UNC0638:navitoclax (1:1 mol/mol),,no_match
UNC1215,,no_match
"US9505780, JQ-1",,no_match
Uramustine,,no_match
VAF-347,,no_match
VNLG/124,,no_match
VX-11e,,no_match
VX-702,,no_match
Valdecoxib,,no_match
Veliparib,,no_match
Vepesid J,,no_match
Vinblastine sulfate,,no_match
Vincristine sulfate,,no_match
Vorapaxar,,no_match
Vorinostat,,no_match
